Designator,Mid X,Mid Y,Rotation,Layer
BATTERY_SCREW1,92.8,-128.3,0.0,top
C1,104.153,-113.411,0.0,top
C11,91.6275,-116.25,0.0,top
C12,114.046,-113.411,90.0,top
C13,117.545,-117.05,0.0,top
C2,115.5,-132.8625,180.0,top
C3,109.75,-137.6225,90.0,top
C4,97.6275,-163.25,180.0,top
C5,110.08,-151.0275,90.0,top
C6,130.91,-162.08,180.0,top
C7,142.62,-150.72,90.0,top
D1,100.1,-117.8,270.0,top
D2,89.58,-151.7725,270.0,top
D3,123.03,-151.9125,270.0,top
J1,159.13,-106.25,180.0,top
J2,159.13,-131.65,180.0,top
J3,143.43,-165.92,0.0,top
J5,110.61,-165.88,0.0,top
L1,108.365,-123.26,0.0,top
L2,98.3,-139.57,0.0,top
L3,130.6,-138.6,0.0,top
R1,127.5875,-123.9,90.0,top
R2,130.5875,-126.4625,180.0,top
R3,130.0475,-118.26,180.0,top
R4,126.58,-117.42,270.0,top
R5,108.47,-160.195,0.0,top
R6,113.555,-160.045,180.0,top
R7,141.23,-158.88,0.0,top
R8,145.98,-158.95,180.0,top
REC_SCREW1,115.255,-106.43,180.0,top
U1,109.635,-114.69,270.0,top
U10,130.6975,-123.91,180.0,top
U2,117.5625,-113.95,180.0,top
U3,97.97,-153.43,0.0,top
U6,115.61,-137.92,180.0,top
U7,143.45,-117.73,0.0,top
U8,130.0175,-115.46,180.0,top
U9,131.17,-152.62,0.0,top
